id,name
519,Kependudukan dan Migrasi
520,Tenaga Kerja
521,Pendidikan
522,Kesehatan
523,Konsumsi dan Pendapatan
525,Pemukiman dan Perumahan
526,Hukum dan Kriminal
528,Aktivitas Politik dan Komunitas Lainnya
531,Neraca Ekonomi
534,"Keuangan Pemerintah, Fiskal dan Statistik Sektor Publik"
535,Perdagangan Internasional dan Neraca Pembayaran
536,Harga-Harga
537,Biaya Tenaga Kerja
557,"Pertanian, Kehutanan, Perikanan"
558,Energi
559,"Pertambangan, Manufaktur, Konstruksi"
560,Transportasi
561,Pariwisata
562,"Perbankan, Asuransi dan Finansial"
563,"Kondisi Tempat Tinggal, Kemiskinan, dan Permasalahan Sosial Lintas Sektor"
564,Gender dan Kelompok Populasi Khusus
